"Region","year","Schools_With_Fine_Art_Programs","Number_of_Fine_Art_Classes"
"Alameda County","2010-11",132,1528
"Alameda County","2008-09",127,1505
"Alameda County","2007-08",133,1496
"Alameda County",2007,123,1652
"Alameda County",2006,114,1455
"Alameda County",2005,117,1435
"Alameda County",2004,107,1349
"Alameda County",2003,110,1517
"Alameda County",2002,115,1493
"Alameda County",2001,139,1466
"Alameda County",2000,160,1661
"Alameda County",1999,147,1644
"Alameda County",1998,129,1454
"Kern County","2010-11",93,1179
"Kern County","2008-09",94,1071
"Kern County","2007-08",92,1168
"Kern County",2007,85,1126
"Kern County",2006,79,1094
"Kern County",2005,78,1094
"Kern County",2004,81,1027
"Kern County",2003,79,1162
"Kern County",2002,83,1196
"Kern County",2001,82,1145
"Kern County",2000,87,1243
"Kern County",1999,86,1224
"Kern County",1998,89,1156
"Los Angeles County","2010-11",766,11224
"Los Angeles County","2008-09",687,10050
"Los Angeles County","2007-08",654,10590
"Los Angeles County",2007,618,9956
"Los Angeles County",2006,595,9781
"Los Angeles County",2005,610,10371
"Los Angeles County",2004,600,9981
"Los Angeles County",2003,674,9504
"Los Angeles County",2002,659,9675
"Los Angeles County",2001,182,3220
"Los Angeles County",2000,600,9623
"Los Angeles County",1999,571,9228
"Los Angeles County",1998,576,8828
"Orange County","2010-11",192,3174
"Orange County","2008-09",191,3517
"Orange County","2007-08",190,3656
"Orange County",2007,197,3550
"Orange County",2006,185,3127
"Orange County",2005,173,3363
"Orange County",2004,180,3206
"Orange County",2003,188,3448
"Orange County",2002,182,3129
"Orange County",2001,124,1870
"Orange County",2000,201,3518
"Orange County",1999,215,3354
"Orange County",1998,220,3190
"Riverside County","2010-11",172,3039
"Riverside County","2008-09",164,2454
"Riverside County","2007-08",157,2474
"Riverside County",2007,148,2389
"Riverside County",2006,143,2327
"Riverside County",2005,142,2243
"Riverside County",2004,135,2105
"Riverside County",2003,132,2228
"Riverside County",2002,127,2007
"Riverside County",2001,124,1870
"Riverside County",2000,166,2034
"Riverside County",1999,154,1935
"Riverside County",1998,141,1876
"Sacramento County","2010-11",145,1951
"Sacramento County","2008-09",123,1562
"Sacramento County","2007-08",124,1574
"Sacramento County",2007,119,1384
"Sacramento County",2006,103,1258
"Sacramento County",2005,105,1328
"Sacramento County",2004,96,1310
"Sacramento County",2003,89,1424
"Sacramento County",2002,80,1286
"Sacramento County",2001,96,1359
"Sacramento County",2000,132,1498
"Sacramento County",1999,110,1312
"Sacramento County",1998,109,1282
"San Bernandino County","2010-11",184,2938
"San Bernandino County","2008-09",171,2385
"San Bernandino County","2007-08",165,2376
"San Bernandino County",2007,149,2256
"San Bernandino County",2006,150,2401
"San Bernandino County",2005,149,2249
"San Bernandino County",2004,144,2168
"San Bernandino County",2003,163,2399
"San Bernandino County",2002,164,2293
"San Bernandino County",2001,162,2186
"San Bernandino County",2000,175,2319
"San Bernandino County",1999,164,2252
"San Bernandino County",1998,159,2281
"San Diego County","2010-11",246,3221
"San Diego County","2008-09",243,3154
"San Diego County","2007-08",237,3502
"San Diego County",2007,215,3398
"San Diego County",2006,208,3206
"San Diego County",2005,199,2928
"San Diego County",2004,180,2729
"San Diego County",2003,195,3150
"San Diego County",2002,196,2869
"San Diego County",2001,191,2595
"San Diego County",2000,228,2637
"San Diego County",1999,221,2377
"San Diego County",1998,215,2417
"San Francisco County","2010-11",46,584
"San Francisco County","2008-09",40,600
"San Francisco County","2007-08",46,686
"San Francisco County",2007,38,534
"San Francisco County",2006,39,502
"San Francisco County",2005,33,406
"San Francisco County",2004,31,359
"San Francisco County",2003,33,372
"San Francisco County",2002,31,382
"San Francisco County",2001,35,459
"San Francisco County",2000,36,436
"San Francisco County",1999,36,370
"San Francisco County",1998,36,517
"State of California","2010-11",3162,45400
"State of California","2008-09",3242,41768
"State of California","2007-08",3189,43110
"State of California",2007,2952,41643
"State of California",2006,2851,40215
"State of California",2005,2806,40339
"State of California",2004,2766,38996
"State of California",2003,2930,41086
"State of California",2002,2881,39797
"State of California",2001,2903,39414
"State of California",2000,3261,41721
"State of California",1999,3108,40058
"State of California",1998,3053,38672
"Ventura County","2010-11",83,839
"Ventura County","2008-09",75,816
"Ventura County","2007-08",69,828
"Ventura County",2007,64,794
"Ventura County",2006,62,797
"Ventura County",2005,60,783
"Ventura County",2004,62,762
"Ventura County",2003,62,748
"Ventura County",2002,53,661
"Ventura County",2001,57,649
"Ventura County",2000,61,669
"Ventura County",1999,61,665
"Ventura County",1998,58,614
