"DISTRICT","YEAR","# of Schools w/ Fine Arts Programs","# of Fine Arts Classes"
"Beverly Hills USD","1997-8",5,103
"Beverly Hills USD","1998-9",5,109
"Beverly Hills USD","1999-00",5,102
"Beverly Hills USD","2000-01",5,98
"Beverly Hills USD","2001-02",5,88
"Beverly Hills USD","2002-03",5,93
"Beverly Hills USD","2003-04",5,100
"Beverly Hills USD","2004-05",5,84
"Beverly Hills USD","2005-06",5,77
"Beverly Hills USD","2006-07","`",92
"Beverly Hills USD","2007-08",5,94
"Beverly Hills USD","2008-09",5,91
"Beverly Hills USD","2009-10",0,0
"Beverly Hills USD","2010-11",7,85
"Burbank USD","1997-8",6,88
"Burbank USD","1998-9",5,90
"Burbank USD","1999-00",6,89
"Burbank USD","2000-01",6,115
"Burbank USD","2001-02",6,119
"Burbank USD","2002-03",7,122
"Burbank USD","2003-04",7,116
"Burbank USD","2004-05",7,119
"Burbank USD","2005-06",7,124
"Burbank USD","2006-07",7,144
"Burbank USD","2007-08",10,140
"Burbank USD","2008-09",10,134
"Burbank USD","2009-10",0,0
"Burbank USD","2010-11",8,269
"Glendale USD","1997-8",8,199
"Glendale USD","1998-9",8,177
"Glendale USD","1999-00",9,198
"Glendale USD","2000-01",9,185
"Glendale USD","2001-02",9,185
"Glendale USD","2002-03",9,195
"Glendale USD","2003-04",9,187
"Glendale USD","2004-05",9,173
"Glendale USD","2005-06",9,170
"Glendale USD","2006-07",9,178
"Glendale USD","2007-08",9,176
"Glendale USD","2008-09",9,78
"Glendale USD","2009-10",0,0
"Glendale USD","2010-11",10,136
"Inglewood USD","1997-8",6,79
"Inglewood USD","1998-9",7,61
"Inglewood USD","1999-00",7,56
"Inglewood USD","2000-01",6,67
"Inglewood USD","2001-02",7,94
"Inglewood USD","2002-03",7,101
"Inglewood USD","2003-04",9,79
"Inglewood USD","2004-05",9,76
"Inglewood USD","2005-06",6,73
"Inglewood USD","2006-07",6,61
"Inglewood USD","2007-08",5,50
"Inglewood USD","2008-09",7,48
"Inglewood USD","2009-10",0,0
"Inglewood USD","2010-11",9,78
"La Canada USD","1997-8",1,33
"La Canada USD","1998-9",1,34
"La Canada USD","1999-00",1,38
"La Canada USD","2000-01",1,39
"La Canada USD","2001-02",1,43
"La Canada USD","2002-03",1,41
"La Canada USD","2003-04",1,40
"La Canada USD","2004-05",1,37
"La Canada USD","2005-06",1,46
"La Canada USD","2006-07",1,44
"La Canada USD","2007-08",2,48
"La Canada USD","2008-09",2,50
"La Canada USD","2009-10",0,0
"La Canada USD","2010-11",1,35
"Long Beach USD","1997-8",29,411
"Long Beach USD","1998-9",28,463
"Long Beach USD","1999-00",30,539
"Long Beach USD","2000-01",32,542
"Long Beach USD","2001-02",33,555
"Long Beach USD","2002-03",36,590
"Long Beach USD","2003-04",33,564
"Long Beach USD","2004-05",35,594
"Long Beach USD","2005-06",33,576
"Long Beach USD","2006-07",34,678
"Long Beach USD","2007-08",36,679
"Long Beach USD","2008-09",37,646
"Long Beach USD","2009-10",0,0
"Long Beach USD","2010-11",38,642
"Los Angeles USD","1997-8",169,"3,482"
"Los Angeles USD","1998-9",172,"3,705"
"Los Angeles USD","1999-00",173,"3,738"
"Los Angeles USD","2000-01",182,"3,850"
"Los Angeles USD","2001-02",249,"3,748"
"Los Angeles USD","2002-03",295,"3,744"
"Los Angeles USD","2003-04",199,"4,256"
"Los Angeles USD","2004-05",206,"4,543"
"Los Angeles USD","2005-06",210,"3,902"
"Los Angeles USD","2006-07",216,"3,971"
"Los Angeles USD","2007-08",228,"4,362"
"Los Angeles USD","2008-09",256,"4,067"
"Los Angeles USD","2009-10",0,0
"Los Angeles USD","2010-11",300,"4,073"
"Manhattan Beach USD","1997-8",3,47
"Manhattan Beach USD","1998-9",3,69
"Manhattan Beach USD","1999-00",4,73
"Manhattan Beach USD","2000-01",4,70
"Manhattan Beach USD","2001-02",4,80
"Manhattan Beach USD","2002-03",2,64
"Manhattan Beach USD","2003-04",2,70
"Manhattan Beach USD","2004-05",2,66
"Manhattan Beach USD","2005-06",3,78
"Manhattan Beach USD","2006-07",3,86
"Manhattan Beach USD","2007-08",3,74
"Manhattan Beach USD","2008-09",2,52
"Manhattan Beach USD","2009-10",0,0
"Manhattan Beach USD","2010-11",3,58
"Pasadena USD","1997-8",12,121
"Pasadena USD","1998-9",10,143
"Pasadena USD","1999-00",11,144
"Pasadena USD","2000-01",11,145
"Pasadena USD","2001-02",13,145
"Pasadena USD","2002-03",12,127
"Pasadena USD","2003-04",11,121
"Pasadena USD","2004-05",11,118
"Pasadena USD","2005-06",11,111
"Pasadena USD","2006-07",13,109
"Pasadena USD","2007-08",13,109
"Pasadena USD","2008-09",14,133
"Pasadena USD","2009-10",0,0
"Pasadena USD","2010-11",10,128
"Santa Monica Malibu","1997-8",5,133
"Santa Monica Malibu","1998-9",6,139
"Santa Monica Malibu","1999-00",5,136
"Santa Monica Malibu","2000-01",6,141
"Santa Monica Malibu","2001-02",6,133
"Santa Monica Malibu","2002-03",5,159
"Santa Monica Malibu","2003-04",6,154
"Santa Monica Malibu","2004-05",6,133
"Santa Monica Malibu","2005-06",6,148
"Santa Monica Malibu","2006-07",5,119
"Santa Monica Malibu","2007-08",6,118
"Santa Monica Malibu","2008-09",5,115
"Santa Monica Malibu","2009-10",0,0
"Santa Monica Malibu","2010-11",4,144




