"year","PRIM_STATE","AREA","AREA_NAME","OCC_CODE","OCC_TITLE","GROUP","TOT_EMP","EMP_PRSE","JOBS_1000","LOC_QUOTIENT","A_MEAN","MEAN_PRSE","A_PCT10","A_PCT25","A_MEDIAN","A_PCT75","A_PCT90"
"2011","PA","38300","Pittsburgh, PA","27-0000","Arts, Design, Entertainment, Sports, and Media Occupations","major","13010",6.6,11.675,6.14,"45380",2.9,"18750","26770","39530","55550","74250"
"2011","PA","38300","Pittsburgh, PA","27-1011","Art Directors",,160,16.3,0.148,6.01,"72810",5.1,"36530","50040","67050","86370","124990"
"2011","PA","38300","Pittsburgh, PA","27-1013","Fine Artists, Including Painters, Sculptors, and Illustrators",,40,16.1,0.035,5.99,"43020",8.3,"24580","28170","36330","48770","58380"
"2011","PA","38300","Pittsburgh, PA","27-1014","Multimedia Artists and Animators",,130,20.2,0.116,5.98,"48240",3.5,"28250","36150","44500","54990","71810"
"2011","PA","38300","Pittsburgh, PA","27-1023","Floral Designers",,410,14.5,0.369,5.95,"25080",5.2,"17860","20550","23710","29390","34980"
"2011","PA","38300","Pittsburgh, PA","27-1024","Graphic Designers",,"1540",6.2,1.379,5.94,"41170",1.8,"25910","32100","38420","47830","60860"
"2011","PA","38300","Pittsburgh, PA","27-1025","Interior Designers",,170,22.3,0.151,5.93,"44090",5.1,"24880","34480","44410","54690","61590"
"2011","PA","38300","Pittsburgh, PA","27-1026","Merchandise Displayers and Window Trimmers",,300,31.1,0.272,5.9,"28450",5.3,"20030","22120","26700","33450","38960"
"2011","PA","38300","Pittsburgh, PA","27-2012","Producers and Directors",,290,20.4,0.256,5.75,"58130",6.6,"19490","33190","51430","74330","92850"
"2011","PA","38300","Pittsburgh, PA","27-2041","Music Directors and Composers",,310,26.7,0.277,5.58,"51240",7.8,"20860","36070","47610","58240","88110"
"2011","PA","38300","Pittsburgh, PA","27-3011","Radio and Television Announcers",,260,33.6,0.23,5.51,"38850",21.3,"16680","18530","25700","37480","83880"
"2011","PA","38300","Pittsburgh, PA","27-3022","Reporters and Correspondents",,390,21.2,0.352,5.51,"44890",4.9,"22620","31290","44410","56590","68010"
"2011","PA","38300","Pittsburgh, PA","27-3031","Public Relations Specialists",,"2200",9.1,1.974,5.39,"53530",2.4,"28260","36500","47330","64360","87300"
"2011","PA","38300","Pittsburgh, PA","27-3041","Editors",,530,8.9,0.478,5.39,"52890",3.8,"29800","38430","49910","64930","75840"
"2011","PA","38300","Pittsburgh, PA","27-3042","Technical Writers",,400,10.5,0.362,5.38,"58410",1.9,"37150","46540","56600","69640","84110"
"2011","PA","38300","Pittsburgh, PA","27-3043","Writers and Authors",,230,10,0.204,5.35,"60750",5.3,"33450","43000","55070","69110","90430"
"2011","PA","38300","Pittsburgh, PA","27-3091","Interpreters and Translators",,270,30.6,0.241,5.24,"53310",11.9,"33980","39340","47650","67710","81910"
"2011","PA","38300","Pittsburgh, PA","27-3099","Media and Communication Workers, All Other",,50,30,0.047,5.21,"43720",3.5,"26800","30200","38930","52510","70520"
"2011","PA","38300","Pittsburgh, PA","27-4011","Audio and Video Equipment Technicians",,560,22.2,0.499,5.2,"37980",4.3,"22100","26820","34860","46220","59100"
"2011","PA","38300","Pittsburgh, PA","27-4012","Broadcast Technicians",,120,16.3,0.106,5.19,"33210",5.4,"20000","23630","34060","39010","45760"
"2011","PA","38300","Pittsburgh, PA","27-4014","Sound Engineering Technicians",,120,42.9,0.104,5.19,"47820",11.6,"18860","33240","42690","57320","89170"
"2011","PA","38300","Pittsburgh, PA","27-4021","Photographers",,500,10.1,0.451,5.18,"34590",8.2,"19400","23790","29000","40940","61170"
"2011","PA","38300","Pittsburgh, PA","27-4031","Camera Operators, Television, Video, and Motion Picture",,120,44.3,0.106,5.18,"38470",3.5,"27130","31420","34860","38290","64340"
"2011","PA","38300","Pittsburgh, PA","27-4032","Film and Video Editors",,80,14.3,0.068,5.16,"45340",4.4,"28370","33830","41390","53560","71950"
"2011","PA","38300","Pittsburgh, PA","27-4099","Media and Communication Equipment Workers, All Other",,80,40.6,0.07,5.09,"61100",3.3,"39540","47430","59490","72040","89380"
"2011","NY","40380","Rochester, NY","27-0000","Arts, Design, Entertainment, Sports, and Media Occupations","major","6460",8.6,13.23,0.25,"50280",2.8,"23400","31020","43890","63300","84960"
"2011","NY","40380","Rochester, NY","27-1011","Art Directors",,90,12.4,0.19,0.25,"90160",6.2,"45690","63170","74050","103980","158360"
"2011","NY","40380","Rochester, NY","27-1014","Multimedia Artists and Animators",,50,43.2,0.097,0.25,"60140",3.3,"40690","46680","57170","71140","86420"
"2011","NY","40380","Rochester, NY","27-1021","Commercial and Industrial Designers",,150,14,0.303,0.24,"64190",2.6,"36800","47800","66230","80840","90700"
"2011","NY","40380","Rochester, NY","27-1023","Floral Designers",,240,20.3,0.488,0.24,"28050",4,"20050","24350","27420","31280","37850"
"2011","NY","40380","Rochester, NY","27-1024","Graphic Designers",,910,11.2,1.873,0.24,"46910",2.5,"26830","32630","42850","59220","74480"
"2011","NY","40380","Rochester, NY","27-1025","Interior Designers",,140,27.1,0.281,0.24,"44010",5.2,"27230","30810","39420","48040","68770"
"2011","NY","40380","Rochester, NY","27-1026","Merchandise Displayers and Window Trimmers",,150,32.8,0.306,0.24,"33460",5.1,"19930","24440","31980","37920","48200"
"2011","NY","40380","Rochester, NY","27-1027","Set and Exhibit Designers",,40,16.4,0.072,0.24,"49230",5.1,"30820","38600","43530","52810","74080"
"2011","NY","40380","Rochester, NY","27-2012","Producers and Directors",,270,16.9,0.546,0.24,"54030",2.5,"32800","40280","53730","67280","74710"
"2011","NY","40380","Rochester, NY","27-2041","Music Directors and Composers",,380,24.5,0.784,0.23,"44900",9.5,"17240","22550","47860","59420","72430"
"2011","NY","40380","Rochester, NY","27-3011","Radio and Television Announcers",,130,22.3,0.272,0.23,"49740",12.8,"17910","23930","34540","61150","91770"
"2011","NY","40380","Rochester, NY","27-3022","Reporters and Correspondents",,200,21.8,0.405,0.23,"35040",3.7,"24450","27070","32090","39300","50110"
"2011","NY","40380","Rochester, NY","27-3031","Public Relations Specialists",,640,10.7,1.317,0.23,"51510",2.3,"30880","35830","46580","62700","78770"
"2011","NY","40380","Rochester, NY","27-3041","Editors",,440,35.6,0.907,0.23,"61220",5.1,"31450","36270","51490","72850","103330"
"2011","NY","40380","Rochester, NY","27-3042","Technical Writers",,100,14.4,0.208,0.23,"62350",2.3,"44420","53310","63960","71910","77540"
"2011","NY","40380","Rochester, NY","27-3043","Writers and Authors",,130,15,0.268,0.23,"74330",5.3,"25480","41750","72830","103630","130380"
"2011","NY","40380","Rochester, NY","27-3091","Interpreters and Translators",,280,2.3,0.57,0.22,"51210",4.1,"27750","39410","50400","64950","73500"
"2011","NY","40380","Rochester, NY","27-4011","Audio and Video Equipment Technicians",,100,12.9,0.2,0.22,"35610",5.9,"20190","24850","32340","44810","57460"
"2011","NY","40380","Rochester, NY","27-4012","Broadcast Technicians",,120,25.2,0.25,0.22,"41350",4.8,"24670","27750","38930","50970","65300"
"2011","NY","40380","Rochester, NY","27-4014","Sound Engineering Technicians",,70,20,0.143,0.22,"52150",10.7,"25670","43640","52810","59030","81670"
"2011","NY","40380","Rochester, NY","27-4021","Photographers",,210,21.8,0.424,0.22,"29580",15.4,"16330","18000","24640","39690","50220"
"2011","NY","40380","Rochester, NY","27-4031","Camera Operators, Television, Video, and Motion Picture",,30,37.7,0.065,0.22,"45180",7.3,"23830","32580","44880","58170","69280"
"2011","NY","40380","Rochester, NY","27-4032","Film and Video Editors",,40,27.7,0.092,0.22,"47520",10,"22260","28000","47620","66770","74260"
